date,open,high,low,close,volume,oi
2019-07-02 14:27:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:28:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:29:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:30:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:31:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:32:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:33:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:34:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:35:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:36:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:37:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:38:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:39:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:40:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:41:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:42:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:43:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:44:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:45:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:46:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:47:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:48:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:49:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:50:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:51:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:52:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:53:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:54:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:55:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:56:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:57:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:58:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 14:59:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:00:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:01:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:02:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:03:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:04:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:05:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:06:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:07:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:08:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:09:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:10:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:11:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:12:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:13:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:15:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:16:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:17:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:18:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:19:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:20:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:21:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:22:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:23:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:24:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:26:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:27:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:28:00,2956.85,2956.85,2956.85,2956.85,0,0
2019-07-02 15:29:01,2956.85,2956.85,2956.85,2956.85,0,0
